Province;Name;ID;Date;TemperatureMax;TemperatureMin;TemperatureMean;Direction;Racha;Sun;PresMaxima;PresMinima
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-02;16,7;-2,0;7,4;16;5,8;8,8;957,2;952,7
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-03;16,5;-1,1;7,7;11;3,6;7,4;961,1;956,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-04;17,2;0,7;9,0;25;4,7;4,2;961,7;958,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-05;17,3;1,8;9,6;99;4,7;6,1;958,8;954,6
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-06;16,9;-1,2;7,8;21;6,7;9,1;961,5;957,6
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-07;16,4;-0,6;7,9;99;2,2;9,1;963,1;959,8
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-08;16,3;-3,4;6,4;20;4,7;8,9;961,8;957,8
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-09;17,3;-4,1;6,6;26;4,7;9,2;959,8;955,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-10;12,4;-3,5;4,4;99;7,2;5,2;957,5;950,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-11;16,9;-0,2;8,4;03;10,8;8,7;960,8;951,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-12;17,6;-0,8;8,4;27;4,7;9,3;962,2;956,8
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-13;14,4;-0,6;6,9;99;10,8;9,0;957,5;954,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-14;11,1;-1,1;5,0;03;13,9;8,8;960,9;956,7
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-15;11,9;-3,6;4,2;03;12,5;9,3;962,2;958,7
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-16;14,5;-2,5;6,0;04;10,8;9,4;960,0;954,6
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-17;15,7;-2,9;6,4;03;10,8;9,2;954,8;949,2
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-18;5,5;-5,9;-0,2;03;12,5;2,0;951,0;947,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-19;7,6;0,2;3,9;03;13,3;2,9;948,4;944,5
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-20;9,6;-1,7;4,0;99;4,2;0,9;950,1;944,7
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-21;11,9;-4,5;3,7;03;9,7;4,4;950,9;947,3
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-22;14,5;-0,9;6,8;35;9,2;8,4;951,6;949,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-23;14,0;-4,1;5,0;99;7,2;7,5;955,4;950,3
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-24;15,3;-4,1;5,6;33;7,2;9,5;958,2;955,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-25;15,0;-4,5;5,2;27;8,9;9,5;958,0;952,3
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-26;12,3;-2,8;4,8;99;12,5;2,4;953,9;946,2
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-27;10,9;5,9;8,4;29;18,1;2,6;953,2;945,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-28;13,1;3,6;8,4;32;10,3;8,2;960,4;953,2
GRANADA;GRANADA AEROPUERTO;5530E;2017-01-29;17,4;0,7;9,0;22;5,0;7,3;960,5;957,3
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-02;15,2;3,3;9,2;99;5,0;0,2;956,0;951,2
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-03;16,2;5,8;11,0;99;11,4;6,8;957,9;955,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-04;16,4;7,6;12,0;27;10,8;1,6;958,3;955,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-05;14,9;7,6;11,2;31;17,5;4,6;963,1;953,0
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-06;17,3;2,6;10,0;99;9,2;9,9;964,5;961,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-07;17,7;0,9;9,3;34;9,7;5,0;962,2;956,6
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-08;15,3;2,5;8,9;04;10,3;10,0;959,8;957,4
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-09;18,6;-3,1;7,8;16;8,3;8,4;959,0;947,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-10;7,1;0,6;3,8;27;10,8;0,0;947,7;945,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-11;14,5;4,7;9,6;12;10,8;3,4;945,3;936,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-12;18,0;8,3;13,2;15;15,3;3,7;938,1;931,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-13;15,6;4,6;10,1;27;12,5;3,4;953,0;933,4
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-14;17,0;0,7;8,8;99;4,2;6,3;959,2;952,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-15;19,0;1,1;10,0;16;7,8;9,6;962,2;958,4
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-16;18,5;3,1;10,8;99;8,3;9,0;962,7;959,5
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-17;17,8;4,1;11,0;17;5,8;6,8;961,3;956,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-18;15,8;2,8;9,3;99;3,6;2,5;958,4;951,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-19;17,6;6,3;12,0;04;11,7;3,5;954,9;950,2
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-20;15,4;5,8;10,6;03;12,8;3,6;954,9;950,4
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-21;20,9;6,1;13,5;04;8,9;8,9;953,6;949,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-22;20,6;7,4;14,0;14;20,0;6,6;952,5;946,9
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-23;16,6;7,8;12,2;22;7,8;1,1;947,7;945,1
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-24;18,6;4,9;11,8;99;6,7;5,4;952,1;946,7
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-25;18,6;6,2;12,4;29;9,7;6,2;956,2;951,7
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-26;19,3;4,7;12,0;28;7,8;7,9;956,9;952,8
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-27;17,6;5,4;11,5;28;9,7;7,0;954,1;951,4
GRANADA;GRANADA AEROPUERTO;5530E;2017-02-28;16,2;3,1;9,6;99;10,3;3,8;954,9;951,2
GRANADA;GRANADA AEROPUERTO;5530E;2017-03-01;20,9;1,0;11,0;99;5,8;10,8;954,9;951,8
GRANADA;GRANADA AEROPUERTO;5530E;2017-03-02;22,3;1,8;12,0;28;5,8;10,9;954,8;949,6
