Province;City;Code
BADAJOZ;DON BENITO;4358X
CIUDAD REAL;PUEBLA DE DON RODRIGO;4220X
STA. CRUZ DE TENERIFE;TENERIFE NORTE AEROPUERTO;C447A
MALAGA;ANTEQUERA;6106X
LLEIDA;TALARN;9698U
BADAJOZ;MÉRIDA;4410X
ASTURIAS;CASTROPOL;1331A
OURENSE;OURENSE;1690A
TARRAGONA;VANDELLÒS  ;0002I
CASTELLON;VILLAFRANCA DEL CID/VILLAFRANCA;8489X
ALICANTE;ALICANTE/ALACANT;8025
STA. CRUZ DE TENERIFE;STA.CRUZ DE TENERIFE;C449C
HUESCA;BIELSA;9784P
BURGOS;BURGOS AEROPUERTO;2331
ZARAGOZA;ZARAGOZA AEROPUERTO;9434
CANTABRIA;SANTANDER AEROPUERTO;1109
ALMERIA;ROQUETAS DE MAR;6293X
ASTURIAS;ASTURIAS AEROPUERTO;1212E
ZARAGOZA;CALATAYUD;9394X
CUENCA;TARANCÓN;3094B
BIZKAIA;PUNTA GALEA;1059X
ASTURIAS;GIJÓN, CAMPUS;1207U
ALMERIA;HUERCAL OVERA;6367B
MURCIA;ALCANTARILLA, BASE AÉREA;7228
MURCIA;ÁGUILAS;7002Y
LAS PALMAS;GRAN CANARIA AEROPUERTO;C649I
MADRID;COLMENAR VIEJO;3191E
TARRAGONA;REUS AEROPUERTO;0016A
GIRONA;GIRONA AEROPUERTO;0367
ALICANTE;PINOSO ;7247X
MADRID;GETAFE;3200
CIUDAD REAL;TOMELLOSO;4103X
MADRID;TORREJÓN DE ARDOZ;3175
MADRID;MADRID AEROPUERTO;3129
TOLEDO;MADRIDEJOS;4067
LAS PALMAS;MASPALOMAS;C689E
GIPUZKOA;SAN SEBASTIÁN AEROPUERTO;1014A
MURCIA;SAN JAVIER AEROPUERTO;7031X
MURCIA;LORCA;7209
CACERES;PLASENCIA;3519X
LLEIDA;TÀRREGA;9720X
ZAMORA;BENAVENTE;2755X
ALBACETE;ALBACETE BASE AÉREA;8175
ZARAGOZA;SOS DEL REY CATÓLICO;9244X
ALMERIA;ADRA;6277B
LA RIOJA;LOGROÑO AEROPUERTO;9170
LAS PALMAS;LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA;C659M
BURGOS;BELORADO;9111
JAEN;SANTA ELENA;5246
MURCIA;SAN JAVIER AEROPUERTO;7031
JAEN;ARROYO DEL OJANCO;5181D
ILLES BALEARS;SA POBLA;B691Y
CANTABRIA;SAN VICENTE DE LA BARQUERA;1159
TOLEDO;TOLEDO;3260B
ASTURIAS;OVIEDO;1249I
MADRID;MADRID, CIUDAD UNIVERSITARIA;3194U
ASTURIAS;CABO BUSTO;1283U
STA. CRUZ DE TENERIFE;IZAÑA;C430E
BURGOS;ARANDA DE DUERO;2117D
GRANADA;GRANADA BASE AÉREA;5514
ILLES BALEARS;SIERRA DE ALFABIA, BUNYOLA;B248
SALAMANCA;LA COVATILLA, ESTACIÓN DE ESQUÍ;2491C
HUELVA;MOGUER, EL ARENOSILLO;5860E
SEGOVIA;SEGOVIA;2465
ILLES BALEARS;PALMA, PUERTO;B228
ILLES BALEARS;ESCORCA, LLUC;B013X
CUENCA;SAN CLEMENTE;4090Y
GIRONA;RIPOLL;0324A
CADIZ;VEJER DE LA FRONTERA;5995B
A CORUÑA;PADRÓN;1473A
AVILA;NAVARREDONDA DE GREDOS;2811A
GIPUZKOA;DONOSTIA/SAN SEBASTIÁN, IGUELDO;1024E
LLEIDA;LA SEU D'URGELL;9619
CORDOBA;DOÑA MENCÍA;5427X
CANTABRIA;SANTANDER;1111
VALLADOLID;OLMEDO;2503X
BIZKAIA;BILBAO AEROPUERTO;1082
ILLES BALEARS;CAPDEPERA;B569X
MURCIA;CIEZA;7145D
CORDOBA;CÓRDOBA AEROPUERTO;5402
A CORUÑA;A CORUÑA AEROPUERTO;1387E
SEVILLA;ÉCIJA;5641X
CIUDAD REAL;VISO DEL MARQUÉS;4148
NAVARRA;BAZTAN, IRURITA ;1002Y
MALAGA;ESTEPONA;6058I
HUESCA;HUESCA AEROPUERTO;9898
TERUEL;CALANDA;9569A
LUGO;LUGO AEROPUERTO;1505
LEON;LEÓN, VIRGEN DEL CAMINO;2661
ALBACETE;HELLÍN;7096B
CADIZ;JEREZ DE LA FRONTERA AEROPUERTO;5960
ZARAGOZA;ZARAGOZA, VALDESPARTERA;9434P
ALICANTE;ALICANTE-ELCHE AEROPUERTO;8019
CASTELLON;CASTELLÓN - ALMASSORA;8500A
SEVILLA;MORÓN DE LA FRONTERA;5796
GRANADA;BAZA;5047E
CADIZ;SAN FERNANDO;5972X
CACERES;TRUJILLO;3463X
A CORUÑA;SANTIAGO DE COMPOSTELA;1475X
BARCELONA;BARCELONA AEROPUERTO;0076
TOLEDO;QUINTANAR DE LA ORDEN;4061X
MADRID;BUITRAGO DEL LOZOYA;3110C
LLEIDA;NAUT ARAN, ARTIES ;9990X
VALENCIA;POLINYÀ DE XÚQUER;8325X
SALAMANCA;SALAMANCA AEROPUERTO;2867
PALENCIA;CERVERA DE PISUERGA;2235U
ASTURIAS;PUERTO DE PAJARES;1221D
ZAMORA;VILLARDECIERVOS;2775X
TARRAGONA;TORTOSA;9981A
CACERES;NAVALMORAL DE LA MATA;3434X
GIPUZKOA;ZUMAIA;1041A
GIPUZKOA;HONDARRIBIA, MALKARROA;1014
CORDOBA;HINOJOSA DEL DUQUE;4267X
LAS PALMAS;MOGÁN, PUERTO;C629X
NAVARRA;BARDENAS REALES, BASE AÉREA ;9294E
BADAJOZ;LLERENA;4386B
BADAJOZ;BADAJOZ AEROPUERTO;4452
LAS PALMAS;LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL;C659H
AVILA;SOTILLO DE LA ADRADA;3391
CORDOBA;VILLANUEVA DE CÓRDOBA;5390Y
NAVARRA;ARANGUREN, ILUNDAIN  ;9263X
ZARAGOZA;BUJARALOZ;9576C
MADRID;SOMOSIERRA;3111D
STA. CRUZ DE TENERIFE;SAN SEBASTIÁN DE LA GOMERA;C329Z
GUADALAJARA;MOLINA DE ARAGÓN;3013
VALENCIA;XÀTIVA;8293X
GIRONA;PORQUERES;0372C
SEVILLA;CAZALLA DE LA SIERRA;5704B
STA. CRUZ DE TENERIFE;TENERIFE SUR AEROPUERTO;C429I
VALENCIA;VALENCIA AEROPUERTO;8414A
OURENSE;XINZO DE LIMIA;1735X
